,event_id,event_name,dcat_id,dcat,athlete_id,athlete_name,athlete_country,round,score,comp_id,birthday,gender,first_season
0,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,13040,ANRAKU Sorato,JPN,Qualification,124.9,14053,2006-11-14,male,2021
1,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,13040,ANRAKU Sorato,JPN,Semi-final,84.4,14053,2006-11-14,male,2021
2,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,13040,ANRAKU Sorato,JPN,Final,99.7,14053,2006-11-14,male,2021
3,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,2101,LEE Dohyun,KOR,Qualification,124.8,14053,2002-10-08,male,2016
4,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,2101,LEE Dohyun,KOR,Semi-final,99.3,14053,2002-10-08,male,2016
5,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,2101,LEE Dohyun,KOR,Final,99.3,14053,2002-10-08,male,2016
6,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,2307,NARASAKI Meichi,JPN,Qualification,93.6,14053,1999-05-13,male,2013
7,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,2307,NARASAKI Meichi,JPN,Semi-final,68.3,14053,1999-05-13,male,2013
8,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,2307,NARASAKI Meichi,JPN,Final,83.9,14053,1999-05-13,male,2013
9,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,2276,NARASAKI Tomoa,JPN,Qualification,94.2,14053,1996-06-22,male,2011
10,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,2276,NARASAKI Tomoa,JPN,Semi-final,59.4,14053,1996-06-22,male,2011
11,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,2276,NARASAKI Tomoa,JPN,Final,69.6,14053,1996-06-22,male,2011
12,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,11675,SCHALCK Mejdi,FRA,Qualification,109.7,14053,2004-05-07,male,2019
13,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,11675,SCHALCK Mejdi,FRA,Semi-final,69.3,14053,2004-05-07,male,2019
14,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,11675,SCHALCK Mejdi,FRA,Final,69.5,14053,2004-05-07,male,2019
15,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,532,AVEZOU Sam,FRA,Qualification,94.2,14053,2001-03-22,male,2015
16,1405,IFSC World Cup Keqiao 2025,3,BOULDER Men,532,AVEZOU Sam,FRA,Semi-final,68.8,14053,2001-03-22,male,2015
