event_id,event_name,dcat,athlete_id,athlete_name,athlete_country,comp_id,birthday,gender,score_quali,score_semi,score_final
1405,IFSC World Cup Keqiao 2025,BOULDER Men,13040,ANRAKU Sorato,JPN,14053,2006-11-14,male,124.9,84.4,99.7
1405,IFSC World Cup Keqiao 2025,BOULDER Men,2101,LEE Dohyun,KOR,14053,2002-10-08,male,124.8,99.3,99.3
1405,IFSC World Cup Keqiao 2025,BOULDER Men,2307,NARASAKI Meichi,JPN,14053,1999-05-13,male,93.6,68.3,83.9
1405,IFSC World Cup Keqiao 2025,BOULDER Men,2276,NARASAKI Tomoa,JPN,14053,1996-06-22,male,94.2,59.4,69.6
1405,IFSC World Cup Keqiao 2025,BOULDER Men,11675,SCHALCK Mejdi,FRA,14053,2004-05-07,male,109.7,69.3,69.5
1405,IFSC World Cup Keqiao 2025,BOULDER Men,532,AVEZOU Sam,FRA,14053,2001-03-22,male,94.2,68.8,69.5
1405,IFSC World Cup Keqiao 2025,BOULDER Men,547,JENFT Paul,FRA,14053,2003-06-16,male,94.7,59.4,44.6
1405,IFSC World Cup Keqiao 2025,BOULDER Men,13210,PRIHED Oren,ISR,14053,2004-11-27,male,94.2,69.1,29.7
1405,IFSC World Cup Keqiao 2025,BOULDER Women,13021,SANDERS Annie,USA,14057,2007-07-22,female,84.3,69.3,54.7
1405,IFSC World Cup Keqiao 2025,BOULDER Women,11462,BERTONE Oriane,FRA,14057,2005-03-10,female,84.8,84.7,44.9
1405,IFSC World Cup Keqiao 2025,BOULDER Women,11468,MCNEICE Erin,GBR,14057,2004-04-06,female,84.2,44.9,44.8
1405,IFSC World Cup Keqiao 2025,BOULDER Women,2327,NAKAMURA Mao,JPN,14057,2000-03-02,female,84.5,45.0,44.4
1405,IFSC World Cup Keqiao 2025,BOULDER Women,2294,NONAKA Miho,JPN,14057,1997-05-21,female,75.0,54.7,44.1
1405,IFSC World Cup Keqiao 2025,BOULDER Women,14008,SEKIKAWA Melody,JPN,14057,2007-07-30,female,84.8,69.3,29.6
1405,IFSC World Cup Keqiao 2025,BOULDER Women,2080,SEO Chaehyun,KOR,14057,2003-11-01,female,74.7,39.4,19.6
1405,IFSC World Cup Keqiao 2025,BOULDER Women,2501,MACKENZIE Oceania,AUS,14057,2002-07-11,female,84.5,69.5,9.9
1409,IFSC World Cup Salt Lake City 2025,BOULDER Men,13040,ANRAKU Sorato,JPN,14093,2006-11-14,male,109.9,84.3,84.4
1409,IFSC World Cup Salt Lake City 2025,BOULDER Men,11871,AMAGASA Sohta,JPN,14093,2000-06-14,male,109.6,59.3,69.6
1409,IFSC World Cup Salt Lake City 2025,BOULDER Men,2101,LEE Dohyun,KOR,14093,2002-10-08,male,84.9,74.5,69.5
1409,IFSC World Cup Salt Lake City 2025,BOULDER Men,1929,DUFFY Colin,USA,14093,2003-12-10,male,94.7,49.8,59.6
1409,IFSC World Cup Salt Lake City 2025,BOULDER Men,2307,NARASAKI Meichi,JPN,14093,1999-05-13,male,124.2,49.8,54.8
1409,IFSC World Cup Salt Lake City 2025,BOULDER Men,11675,SCHALCK Mejdi,FRA,14093,2004-05-07,male,94.5,69.2,54.4
1409,IFSC World Cup Salt Lake City 2025,BOULDER Men,2348,FUJIWAKI Yuji,JPN,14093,1995-10-24,male,124.8,67.7,44.3
1409,IFSC World Cup Salt Lake City 2025,BOULDER Men,2257,SUGIMOTO Rei,JPN,14093,1991-11-13,male,84.8,53.8,29.5
1409,IFSC World Cup Salt Lake City 2025,BOULDER Women,2327,NAKAMURA Mao,JPN,14097,2000-03-02,female,109.5,100.0,84.7
1409,IFSC World Cup Salt Lake City 2025,BOULDER Women,620,AVEZOU Zélia,FRA,14097,2004-04-10,female,124.4,100.0,70.0
1409,IFSC World Cup Salt Lake City 2025,BOULDER Women,13021,SANDERS Annie,USA,14097,2007-07-22,female,109.7,99.7,70.0
1409,IFSC World Cup Salt Lake City 2025,BOULDER Women,11462,BERTONE Oriane,FRA,14097,2005-03-10,female,125.0,84.7,70.0
1409,IFSC World Cup Salt Lake City 2025,BOULDER Women,11621,MEIGNAN Naïlé,FRA,14097,2003-12-18,female,124.5,99.6,69.9
